10;2
1;2
9;2
12;2
8;2
11;2
7;2
6;2
9;3
8;3
2;3
1;4
3;4
10;13
9;13
12;13
4;6
8;13
10;8
1;8
9;8
12;8
8;8
11;8
7;8
2;8
11;13
7;13
6;13
1;14
9;14
12;14
4;14
6;14
10;16
9;16
12;16
8;16
11;16
7;16
2;16
9;17
2;15
1;18
2;18
1;19
2;19
5;19
4;19
6;19
2;22
10;1022
1;1022
9;1022
12;1022
8;1022
11;1022
7;1022
3;1022
2;1022
5;1022
4;1022
6;1022
1;1024
9;1024
12;1024
4;1024
6;1024
10;1025
1;1025
1;20
9;20
8;20
7;20
2;21
9;1025
12;1025
1;1028
9;1028
12;1028
8;1028
7;1028
4;1028
6;1028
1;1029
1;1031
8;1032
12;1033
10;1023
1;1023
9;1023
12;1023
8;1023
11;1023
7;1023
3;1023
2;1023
5;1023
4;1023
6;1023
8;1033
2;1033
2;1032
10;1034
1;1034
9;1034
3;1034
2;1034
4;1034
9;1026
5;1026
6;1026
10;1027
1;1027
9;1027
12;1027
8;1027
11;1027
7;1027
3;1027
2;1027
5;1027
4;1027
6;1027
10;1035
10;1037
1;1037
9;1037
12;1037
8;1037
11;1037
7;1037
6;1037
2;4
5;4
4;4
6;7
6;9
1;10
10;11
9;11
12;11
8;11
11;11
7;11
2;11
10;12
1;12
9;12
12;12
8;12
11;12
7;12
1;1030
